慢熊 slow_bear — avg_r > 0 的全部 688 条

    #  策略                        币种             周期    方向     笔数    avg_r     胜率    total_r
  ───  ───────────────────────── ──────────── ──── ───── ────── ──────── ────── ──────────
  367  ulcer                     BTC            1h     S    161  +0.0210  31.1%      +3.38
  368  awesomeoscillator         LINK           1h     L    106  +0.0210  32.1%      +2.22
  369  ulcer                     BNB            1h     S    132  +0.0210  36.4%      +2.77
  370  cci                       XRP            1h     S    154  +0.0209  72.1%      +3.22
  371  ichimoku                  XRP            1h     S    199  +0.0209  37.7%      +4.16
  372  adx                       ADA           15m     S    157  +0.0209  41.4%      +3.28
  373  ma                        XRP            1h     S    203  +0.0209  38.9%      +4.24
  374  pivotpoints               XRP            1h     L    128  +0.0207  36.7%      +2.65
  375  candlestick               AVAX           1h     S    142  +0.0207  41.5%      +2.94
  376  awesomeoscillator         BNB            1h     S    190  +0.0207  32.1%      +3.93
  377  tvi                       AVAX           1h     S    144  +0.0203  35.4%      +2.92
  378  lstm                      ADA            1h     L    304  +0.0202  26.3%      +6.15
  379  ma                        ETH            1h     L    145  +0.0202  36.6%      +2.93
  380  cmo                       SOL            1m     L     37  +0.0201  51.4%      +0.74
  381  adx                       SOL            1h     L     41  +0.0200  41.5%      +0.82
  382  cmo                       BTC           15m     S     46  +0.0198  56.5%      +0.91
  383  elderray                  ETH            1h     S    508  +0.0196  27.6%      +9.98
  384  cmo                       BNB_COIN       5m     S     84  +0.0196  56.0%      +1.65
  385  stddev                    BTC            1h     L    203  +0.0193  29.6%      +3.92
  386  cmo                       BTC_COIN       5m     S     84  +0.0192  51.2%      +1.61
  387  demandindex               BNB            1h     S    290  +0.0191  32.1%      +5.55
  388  candlestick               ETH_COIN       1h     S    193  +0.0186  37.8%      +3.60
  389  adx                       ETH           15m     S    163  +0.0186  30.1%      +3.04
  390  vwap                      BTC_COIN       1h     S    299  +0.0185  22.7%      +5.54
  391  cmo                       LINK           1m     S     37  +0.0185  56.8%      +0.68
  392  parabolicsar              ETH            1h     S    553  +0.0184  25.3%     +10.19
  393  lstm                      AVAX           1h     S    171  +0.0184  26.9%      +3.15
  394  trix                      ETH_COIN      15m     S     48  +0.0182  52.1%      +0.88
  395  ichimoku                  ETH            1h     L    146  +0.0182  35.6%      +2.65
  396  demandindex               BNB_COIN       1h     S    156  +0.0182  32.7%      +2.83
  397  tvi                       BTC_COIN       1h     S    277  +0.0181  24.9%      +5.02
  398  klinger                   ETH            1h     S    144  +0.0180  54.2%      +2.59
  399  demandindex               BTC            1h     S    381  +0.0179  26.2%      +6.82
  400  momentum                  ETH            1h     S    490  +0.0178  28.8%      +8.70
  401  keltner                   ETH_COIN       1h     L     46  +0.0178  41.3%      +0.82
  402  atrtrailingstop           ADA            1m     L     39  +0.0176  46.2%      +0.69
  403  ichimoku                  BTC            1h     L    221  +0.0176  30.8%      +3.89
  404  smc                       AVAX          15m     S    151  +0.0175  46.4%      +2.64
  405  advancedkline             LINK           5m     S     96  +0.0175  80.2%      +1.68
  406  cmo                       AVAX           1m     S     37  +0.0174  56.8%      +0.65
  407  trix                      XRP           15m     S     45  +0.0173  53.3%      +0.78
  408  keltner                   BNB            1h     S     94  +0.0172  43.6%      +1.62
  409  donchian                  BNB_COIN       1h     S     57  +0.0171  42.1%      +0.98
  410  klinger                   BNB            1h     L    210  +0.0171  47.1%      +3.60
  411  ma                        BTC_COIN       1h     L    115  +0.0171  29.6%      +1.96
  412  ccilong                   BNB           15m     L     39  +0.0169  79.5%      +0.66
  413  elderray                  ETH_COIN       1h     S    324  +0.0168  27.2%      +5.45
  414  donchian                  ADA           15m     L    161  +0.0168  36.0%      +2.70
  415  adx                       ADA           15m     L    154  +0.0167  34.4%      +2.58
  416  awesomeoscillator         ADA            1h     L    149  +0.0167  30.2%      +2.49
  417  lstm                      BTC_COIN       1h     S    298  +0.0167  21.1%      +4.97
  418  momentum                  AVAX           1h     S    247  +0.0167  32.4%      +4.11
  419  vpt                       ADA           15m     L    122  +0.0166  39.3%      +2.03
  420  rsidivergence             AVAX          15m     S    123  +0.0165  52.0%      +2.03
  421  ulcer                     BNB            1h     L    144  +0.0162  32.6%      +2.34
  422  candlestick               DOT            1h     S    184  +0.0161  39.1%      +2.96
  423  tvi                       ADA            1h     L    289  +0.0160  30.8%      +4.62
  424  trix                      BTC           15m     L     55  +0.0158  45.5%      +0.87
  425  demandindex               BTC_COIN       1h     S    184  +0.0154  25.5%      +2.83
  426  ulcer                     BTC            1h     L    164  +0.0153  29.3%      +2.51
  427  marsi                     DOT           15m     S     71  +0.0153  56.3%      +1.09
  428  ultimateoscillator        AVAX           1h     S    246  +0.0152  34.6%      +3.74
  429  parabolicsar              ETH_COIN       1h     S    341  +0.0152  23.8%      +5.18
  430  rsidivergence             BNB_COIN       1h     S     49  +0.0152  53.1%      +0.74
  431  pivotpoints               AVAX          15m     S    148  +0.0152  46.6%      +2.24
  432  pivotpoints               BTC_COIN       1h     L     69  +0.0151  27.5%      +1.04
  433  trix                      DOT           15m     S     44  +0.0151  59.1%      +0.66
  434  bbsqueeze                 SOL           15m     L    131  +0.0150  64.9%      +1.97
  435  lstm                      ADA            1h     S    306  +0.0149  28.8%      +4.57
  436  smc                       ADA            1h     L     88  +0.0149  39.8%      +1.31
  437  smc                       ETH_COIN      15m     S    189  +0.0149  33.3%      +2.82
  438  demandindexlong           LINK           1h     L     37  +0.0149  67.6%      +0.55
  439  ichimoku                  BTC            1h     S    228  +0.0148  33.8%      +3.38
  440  candlestick               ETH            1h     S    273  +0.0148  38.1%      +4.04
  441  tvi                       BTC            1h     S    526  +0.0148  26.0%      +7.78
  442  smc                       ETH           15m     S    187  +0.0146  32.1%      +2.73
  443  accumulationdistribution  ADA           15m     L     45  +0.0146  75.6%      +0.66
  444  cmf                       ADA           15m     L     45  +0.0146  75.6%      +0.66
  445  atr                       BNB_COIN       1h     S     93  +0.0143  35.5%      +1.33
  446  adx                       BTC           15m     S    199  +0.0142  30.7%      +2.83
  447  ccilong                   LINK           5m     L     96  +0.0142  80.2%      +1.37
  448  smc                       SOL           15m     S    167  +0.0142  42.5%      +2.37
  449  smc                       DOT           15m     S    185  +0.0142  37.3%      +2.62
  450  adx                       SOL           15m     L    148  +0.0141  35.1%      +2.09
  451  vpt                       BNB            1h     L     75  +0.0141  41.3%      +1.05
  452  rsidivergence             XRP            1h     S     96  +0.0140  63.5%      +1.35
  453  momentum                  DOT            1h     S    289  +0.0140  30.8%      +4.03
  454  stddev                    BNB            1h     S    175  +0.0138  35.4%      +2.42
  455  awesomeoscillator         DOT            1h     S    104  +0.0136  31.7%      +1.41
  456  vwap                      ADA            1h     L    323  +0.0134  26.0%      +4.33
  457  lstm                      SOL            1h     S    170  +0.0133  28.8%      +2.26
  458  marsi                     SOL           15m     S     77  +0.0133  51.9%      +1.02
  459  donchian                  AVAX          15m     S    128  +0.0129  39.8%      +1.65
  460  stddev                    BNB            1h     L    201  +0.0128  30.3%      +2.57
  461  accumulationdistribution  LINK           5m     L     90  +0.0128  80.0%      +1.15
  462  cmf                       LINK           5m     L     90  +0.0128  80.0%      +1.15
  463  demandindex               BNB            1h     L    301  +0.0128  30.9%      +3.84
  464  cmo                       BNB            1m     S     40  +0.0127  42.5%      +0.51
  465  vroc                      SOL            1h     S    162  +0.0127  53.7%      +2.05
  466  atrtrailingstop           ADA            1m     S     39  +0.0124  48.7%      +0.48
  467  elderray                  AVAX           1h     S    236  +0.0124  33.9%      +2.93
  468  stddev                    BNB_COIN       1h     S    109  +0.0124  33.9%      +1.35
  469  cmo                       AVAX           1m     L     38  +0.0123  52.6%      +0.47
  470  cmo                       ETH_COIN       5m     L     77  +0.0122  49.4%      +0.94
  471  demandindex               ETH            1h     L    231  +0.0122  29.0%      +2.81
  472  cci                       DOT           15m     S    275  +0.0122  69.5%      +3.34
  473  lstm                      BTC            1h     S    565  +0.0120  19.8%      +6.77
  474  smc                       ADA           15m     L    175  +0.0119  34.9%      +2.09
  475  adx                       BTC_COIN      15m     S    202  +0.0119  31.2%      +2.40
  476  smc                       SOL           15m     L    173  +0.0118  35.3%      +2.04
  477  momentum                  ETH_COIN       1h     S    317  +0.0117  26.5%      +3.70
  478  keltner                   BTC            1h     S    115  +0.0116  39.1%      +1.33
  479  trix                      BTC_COIN       5m     S    161  +0.0116  39.1%      +1.86
  480  trix                      BTC            5m     S    163  +0.0116  41.7%      +1.89
  481  ichimoku                  BTC_COIN       1h     L    114  +0.0114  29.8%      +1.30
  482  advancedkline             AVAX          15m     S     47  +0.0114  76.6%      +0.54
  483  rsidivergence             DOT            1h     L     42  +0.0114  52.4%      +0.48
  484  vwap                      BTC            1h     S    578  +0.0114  20.1%      +6.57
  485  keltner                   ETH           15m     S    164  +0.0113  33.5%      +1.86
  486  advancedkline             SOL           15m     S     54  +0.0113  72.2%      +0.61
  487  cmo                       TRX            1m     S     61  +0.0113  39.3%      +0.69
  488  keltner                   BTC            1h     L    108  +0.0113  35.2%      +1.22
  489  keltner                   ADA            1h     S     72  +0.0112  43.1%      +0.80
  490  demandindex               DOT            1h     S    134  +0.0110  35.1%      +1.48
  491  candlestick               BTC_COIN       1h     S    288  +0.0110  28.5%      +3.15
  492  pivotpoints               ADA           15m     L    173  +0.0109  34.1%      +1.89
  493  tvi                       LINK           1h     S    245  +0.0109  32.2%      +2.66
  494  bbsqueeze                 BTC_COIN      15m     S    214  +0.0108  68.2%      +2.31
  495  pivotpoints               ETH_COIN      15m     S    183  +0.0108  33.3%      +1.97
  496  demandindex               SOL            1h     L    104  +0.0107  33.7%      +1.11
  497  stddev                    ETH            1h     L    134  +0.0107  33.6%      +1.43
  498  vroc                      ETH            1h     S    304  +0.0106  48.4%      +3.21
  499  atr                       SOL            1h     L     62  +0.0105  32.3%      +0.65
  500  trix                      DOT           15m     L     54  +0.0104  44.4%      +0.56
  501  rsidivergence             TRX            1h     L     94  +0.0104  58.5%      +0.98
  502  donchian                  BTC_COIN       1h     L     49  +0.0103  34.7%      +0.50
  503  ulcer                     BNB_COIN       1h     S     82  +0.0103  32.9%      +0.84
  504  lstm                      SOL            1h     L    169  +0.0103  21.9%      +1.74
  505  trix                      TRX            1h     L     36  +0.0101  58.3%      +0.37
  506  adx                       LINK          15m     L    178  +0.0101  36.0%      +1.80
  507  atr                       DOT            1h     S     84  +0.0101  34.5%      +0.85
  508  ccilong                   BNB_COIN      15m     L     40  +0.0100  80.0%      +0.40
  509  tvi                       BNB            1h     S    437  +0.0099  30.0%      +4.34
  510  keltner                   ETH_COIN      15m     S    166  +0.0098  34.3%      +1.63
  511  smc                       XRP            1h     L    127  +0.0097  36.2%      +1.23
  512  vpt                       TRX            1h     S    102  +0.0097  35.3%      +0.99
  513  ulcer                     ETH_COIN       1h     L     68  +0.0097  30.9%      +0.66
  514  pivotpoints               ETH           15m     S    183  +0.0096  32.2%      +1.76
  515  ulcer                     ADA            1h     L    102  +0.0096  36.3%      +0.98
  516  bbsqueeze                 DOT            5m     S    493  +0.0095  66.9%      +4.70
  517  demandindex               ETH_COIN       1h     L    134  +0.0095  30.6%      +1.27
